ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,3.0,250.0,30.0,250.0,84.0,18,6.9
3.0,6.0,250.0,84.0,250.0,138.0,18,5.46
6.0,9.0,250.0,138.0,250.0,192.0,18,7.26
9.0,12.0,250.0,192.0,250.0,246.0,18,5.1
12.0,15.0,250.0,246.0,250.0,300.0,18,8.7
15.0,18.0,250.0,300.0,250.0,354.0,18,6.9
18.0,18.88888888888889,250.0,354.0,250.0,370.0,18,8.34
