ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,5.0,170.0,30.0,170.0,110.0,16,6.9
5.0,10.0,170.0,110.0,170.0,190.0,16,8.7
10.0,15.0,170.0,190.0,170.0,270.0,16,5.1
15.0,20.0,170.0,270.0,170.0,350.0,16,7.98
20.0,21.25,170.0,350.0,170.0,370.0,16,6.54
