ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,3.0,330.0,30.0,330.0,90.0,20,7.26
3.0,6.0,330.0,90.0,330.0,150.0,20,7.98
6.0,9.0,330.0,150.0,330.0,210.0,20,7.26
9.0,12.0,330.0,210.0,330.0,270.0,20,5.82
12.0,15.0,330.0,270.0,330.0,330.0,20,7.26
15.0,17.0,330.0,330.0,330.0,370.0,20,6.9
