ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,3.0,270.0,30.0,270.0,84.0,18,7.98
3.0,6.0,270.0,84.0,270.0,138.0,18,7.26
6.0,9.0,270.0,138.0,270.0,192.0,18,5.1
9.0,12.0,270.0,192.0,270.0,246.0,18,7.62
12.0,15.0,270.0,246.0,270.0,300.0,18,5.1
15.0,18.0,270.0,300.0,270.0,354.0,18,8.7
18.0,18.88888888888889,270.0,354.0,270.0,370.0,18,6.9
