ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,5.0,210.0,30.0,210.0,110.0,16,6.9
5.0,10.0,210.0,110.0,210.0,190.0,16,8.34
10.0,15.0,210.0,190.0,210.0,270.0,16,5.82
15.0,20.0,210.0,270.0,210.0,350.0,16,8.7
20.0,21.25,210.0,350.0,210.0,370.0,16,5.1
