ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,5.0,130.0,30.0,130.0,90.0,12,6.9
5.0,10.0,130.0,90.0,130.0,150.0,12,8.34
10.0,15.0,130.0,150.0,130.0,210.0,12,5.46
15.0,20.0,130.0,210.0,130.0,270.0,12,7.62
20.0,25.0,130.0,270.0,130.0,330.0,12,5.46
25.0,28.33,130.0,330.0,130.0,370.0,12,8.34
