ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,3.0,370.0,30.0,370.0,90.0,20,6.9
3.0,6.0,370.0,90.0,370.0,150.0,20,5.1
6.0,9.0,370.0,150.0,370.0,210.0,20,6.54
9.0,12.0,370.0,210.0,370.0,270.0,20,8.34
12.0,15.0,370.0,270.0,370.0,330.0,20,5.82
15.0,17.0,370.0,330.0,370.0,370.0,20,7.62
