ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,5.0,190.0,30.0,190.0,110.0,16,6.9
5.0,10.0,190.0,110.0,190.0,190.0,16,8.7
10.0,15.0,190.0,190.0,190.0,270.0,16,7.26
15.0,20.0,190.0,270.0,190.0,350.0,16,5.1
20.0,21.25,190.0,350.0,190.0,370.0,16,7.62
