ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,5.0,290.0,30.0,290.0,130.0,20,6.9
5.0,10.0,290.0,130.0,290.0,230.0,20,5.1
10.0,15.0,290.0,230.0,290.0,330.0,20,7.62
15.0,17.0,290.0,330.0,290.0,370.0,20,6.18
