ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,3.0,50.0,30.0,50.0,54.0,8,6.9
3.0,6.0,50.0,54.0,50.0,78.0,8,8.7
6.0,9.0,50.0,78.0,50.0,102.0,8,6.54
9.0,12.0,50.0,102.0,50.0,126.0,8,5.1
12.0,15.0,50.0,126.0,50.0,150.0,8,7.98
15.0,18.0,50.0,150.0,50.0,174.0,8,6.54
18.0,21.0,50.0,174.0,50.0,198.0,8,7.98
21.0,24.0,50.0,198.0,50.0,222.0,8,6.54
24.0,27.0,50.0,222.0,50.0,246.0,8,8.7
27.0,30.0,50.0,246.0,50.0,270.0,8,5.1
30.0,33.0,50.0,270.0,50.0,294.0,8,7.62
33.0,36.0,50.0,294.0,50.0,318.0,8,6.18
36.0,39.0,50.0,318.0,50.0,342.0,8,8.34
39.0,42.0,50.0,342.0,50.0,366.0,8,5.82
42.0,42.5,50.0,366.0,50.0,370.0,8,8.34
