ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,3.0,70.0,30.0,70.0,60.0,10,6.9
3.0,6.0,70.0,60.0,70.0,90.0,10,8.34
6.0,9.0,70.0,90.0,70.0,120.0,10,6.9
9.0,12.0,70.0,120.0,70.0,150.0,10,8.7
12.0,15.0,70.0,150.0,70.0,180.0,10,5.82
15.0,18.0,70.0,180.0,70.0,210.0,10,7.26
18.0,21.0,70.0,210.0,70.0,240.0,10,5.46
21.0,24.0,70.0,240.0,70.0,270.0,10,7.26
24.0,27.0,70.0,270.0,70.0,300.0,10,5.46
27.0,30.0,70.0,300.0,70.0,330.0,10,7.62
30.0,33.0,70.0,330.0,70.0,360.0,10,5.82
33.0,34.0,70.0,360.0,70.0,370.0,10,8.34
