t,f
0.0,7.26
1.0,6.18
2.0,7.619999999999999
3.0,7.26
4.0,5.1
5.0,6.539999999999999
6.0,5.46
7.0,5.46
8.0,5.46
9.0,6.8999999999999995
10.0,6.18
11.0,8.7
12.0,6.8999999999999995
13.0,7.26
14.0,6.539999999999999
15.0,6.539999999999999
16.0,6.539999999999999
17.0,8.7
18.0,5.819999999999999
19.0,5.819999999999999
20.0,7.619999999999999
21.0,5.1
22.0,5.1
23.0,8.34
24.0,7.9799999999999995
25.0,6.539999999999999
26.0,6.8999999999999995
27.0,8.7
28.0,5.46
29.0,6.539999999999999
30.0,6.18
